"chart_position","chart_date","song","performer","song_id"
67,2010-01-02,"Elevator","Eminem","ElevatorEminem"
55,2010-01-02,"Empire State Of Mind (Part II) Broken Down","Alicia Keys","Empire State Of Mind (Part II) Broken DownAlicia Keys"
29,2010-01-02,"Hell Breaks Loose","Eminem Featuring Dr. Dre","Hell Breaks LooseEminem Featuring Dr. Dre"
82,2010-01-09,"Music Box","Eminem","Music BoxEminem"
93,2010-01-23,"Love This Pain","Lady Antebellum","Love This PainLady Antebellum"
72,2010-01-30,"Ready To Love Again","Lady Antebellum","Ready To Love AgainLady Antebellum"
81,2010-02-06,"Redemption Song","Rihanna","Redemption SongRihanna"
72,2010-02-13,"Breathless","Taylor Swift","BreathlessTaylor Swift"
99,2010-02-13,"Hurry Home","Jason Michael Carroll","Hurry HomeJason Michael Carroll"
47,2010-02-13,"Lean On Me","Sheryl Crow, Kid Rock & Keith Urban","Lean On MeSheryl Crow, Kid Rock & Keith Urban"
98,2010-02-13,"Let It Be","Jennifer Hudson Featuring The Roots","Let It BeJennifer Hudson Featuring The Roots"
92,2010-02-13,"My City Of Ruins (Live From The Kennedy Center Honors)","Eddie Vedder","My City Of Ruins (Live From The Kennedy Center Honors)Eddie Vedder"
91,2010-02-20,"American Star","Lil Wayne Featuring Shanell AKA SNL","American StarLil Wayne Featuring Shanell AKA SNL"
75,2010-02-20,"Bridge Over Troubled Water","Mary J. Blige & Andrea Bocelli","Bridge Over Troubled WaterMary J. Blige & Andrea Bocelli"
76,2010-02-20,"F**k Today","Lil Wayne Featuring Gudda","F**k TodayLil Wayne Featuring Gudda"
97,2010-02-20,"Major Tom","Shiny Toy Guns","Major TomShiny Toy Guns"
61,2010-03-06,"Hallelujah (Vancouver Winter 2010 Version)","k.d. lang","Hallelujah (Vancouver Winter 2010 Version)k.d. lang"
57,2010-03-06,"Hero","Christopher Wilde","HeroChristopher Wilde"
81,2010-03-06,"Something About The Sunshine","Christopher Wilde & Anna Margaret","Something About The SunshineChristopher Wilde & Anna Margaret"
77,2010-03-06,"StarStruck","Christopher Wilde","StarStruckChristopher Wilde"
100,2010-03-06,"Up Out My Face","Mariah Carey Featuring Nicki Minaj","Up Out My FaceMariah Carey Featuring Nicki Minaj"
82,2010-03-20,"My Best Days Are Ahead Of Me","Danny Gokey","My Best Days Are Ahead Of MeDanny Gokey"
90,2010-03-27,"Driving Me Crazy","Sam Adams","Driving Me CrazySam Adams"
95,2010-03-27,"Ooh Baby","Mario","Ooh BabyMario"
84,2010-04-03,"Make A Wave","Disney's Friends For Change","Make A WaveDisney's Friends For Change"
75,2010-04-10,"Reverse Cowgirl","T-Pain","Reverse CowgirlT-Pain"
92,2010-04-10,"That Should Be Me","Justin Bieber","That Should Be MeJustin Bieber"
67,2010-04-24,"Don't Let Me Fall","B.o.B","Don't Let Me FallB.o.B"
49,2010-05-01,"Hello Goodbye","Glee Cast","Hello GoodbyeGlee Cast"
66,2010-05-01,"Hello, I Love You","Glee Cast","Hello, I Love YouGlee Cast"
35,2010-05-01,"Hello","Glee Cast Featuring Jonathan Groff","HelloGlee Cast Featuring Jonathan Groff"
89,2010-05-08,"4 Minutes","Glee Cast","4 MinutesGlee Cast"
72,2010-05-08,"Bet I","B.o.B Featuring T.I. & Playboy Tre","Bet IB.o.B Featuring T.I. & Playboy Tre"
78,2010-05-08,"Borderline / Open Your Heart","Glee Cast","Borderline / Open Your HeartGlee Cast"
87,2010-05-08,"Like A Virgin","Glee Cast","Like A VirginGlee Cast"
91,2010-05-08,"Still","Tim McGraw","StillTim McGraw"
70,2010-05-15,"A House Is Not A Home","Glee Cast","A House Is Not A HomeGlee Cast"
61,2010-05-15,"Beautiful","Glee Cast","BeautifulGlee Cast"
64,2010-05-15,"Fire","Glee Cast Featuring Kristin Chenoweth","FireGlee Cast Featuring Kristin Chenoweth"
93,2010-05-15,"Halfway There","Big Time Rush","Halfway ThereBig Time Rush"
90,2010-05-15,"Home","Glee Cast Featuring Kristin Chenoweth","HomeGlee Cast Featuring Kristin Chenoweth"
100,2010-05-15,"New Morning","Alpha Rev","New MorningAlpha Rev"
53,2010-05-15,"One Less Bell To Answer / A House Is Not A Home","Glee Cast Featuring Kristin Chenoweth","One Less Bell To Answer / A House Is Not A HomeGlee Cast Featuring Kristin Chenoweth"
99,2010-05-22,"All Or Nothing","Theory Of A Deadman","All Or NothingTheory Of A Deadman"
74,2010-05-22,"Ice Ice Baby","Glee Cast","Ice Ice BabyGlee Cast"
89,2010-05-22,"Physical","Glee Cast Featuring Olivia Newton-John","PhysicalGlee Cast Featuring Olivia Newton-John"
61,2010-05-22,"Run Joey Run","Glee Cast Featuring Jonathan Groff","Run Joey RunGlee Cast Featuring Jonathan Groff"
92,2010-05-22,"U Can't Touch This","Glee Cast","U Can't Touch ThisGlee Cast"
82,2010-05-29,"I'm Single","Lil Wayne","I'm SingleLil Wayne"
81,2010-05-29,"Lady Is A Tramp","Glee Cast","Lady Is A TrampGlee Cast"
60,2010-05-29,"One","Glee Cast","OneGlee Cast"
93,2010-05-29,"Rose's Turn","Glee Cast","Rose's TurnGlee Cast"
